,1,2,3,4,5,6,7,8,9,10,11,12
"[0.2, 0.4)",,330,204,96,30,48,14,7,18,,,
"[0.4, 0.6)",201,132,135,128,120,42,77,40,18,10,11,24
"[0.6, 0.8)",,60,72,84,55,48,28,16,45,20,22,12
"[0.8, 1)",31,36,66,40,65,42,49,56,18,10,22,12
"[1, 1.2)",34,28,33,32,15,30,21,8,27,10,22,
"[1.2, 1.4)",18,38,27,32,65,36,14,32,,,22,24
"[1.4, 1.6)",4,16,15,8,30,12,35,16,18,10,11,12
"[1.6, 1.8)",6,12,12,16,5,,21,,,,,
"[1.8, 2)",5,4,9,12,5,6,7,16,,20,11,
"[2, 3)",19,22,36,8,10,12,7,,9,10,,
"[3, 4)",8,8,3,4,,6,,,,,,
"[4, 5)",3,2,3,,,,,,,,,
"[5, 100)",5,2,6,,,,,,,,,
